CaseID,weight_orig,XYEAR,D0,D1,DOV_LIVARR,D2,D3,D4A,D4B,D4C,D5,S1A,S1B,S2,S3,S4,S5,S4A,S5A,S7_a,S7_b,S7_c,S7_d,DOV_SDEBT1,DOV_SDEBT2,DOV_SDEBT3,DOV_SDEBT4,S11,S12,S13A,S13B,S14_a,S14_b,S15,R1_a,R1_b,R1_c,R1_d,R1_e,R1_f,R1_g,R1_h,R1_Refused,R2,R3A,H0,H1,H4,H5,H6,L1,L2,L1A,L2A,L3,A1A_a,A1A_b,A1A_c,A1B_a,A1B_b,A1B_c,A3,A4,A5,A6,A7,C1,C2_a,C2_b,C3,C4_a,C4_b,C4_c,C4_d,T1_A1,T1_A2,T1_A3,T1_A4,T1_B1,T1_C1,T1_D1,T1_E1,T1_B2,T1_C2,T1_D2,T1_E2,T1_B3,T1_C3,T1_D3,T1_E3,T1_B4,T1_C4,T1_D4,T1_E4,T1A_F1,T1A_F2,T1A_F3,T1A_F4,T1A_G1,T1A_G2,T1A_G3,T1A_G4,T2,T3,T4,T6,T7,T8,E1_a,E1_b,E1_c,E1_d,E1_e,E1_f,E2,E3,E4_a,E4_b,E4_c,E4_d,E4_e,E4_f,E4_g,E4_h,B1_a,B1_b,B2,B3,K0,K1,K2_a,K2_b,K2_c,K2_d,K2_e,K2_f,K2_g,K2_h,K2_Refused,K3_a,K3_b,K3_c,K3_d,K3_e,K3_f,K3_g,K3_h,K3_i,K3_j,K3_k,K3_l,K3_Refused,K4,K5,K6,K7,K8,K9_a,K9_b,K9_c,K9_d,K9_e,K10_a,K10_b,K10_c,K10_d,K10_e,K10_f,K10_g,K10_h,K10_i,K10_j,K10_k,K10_Refused,K11,K12,K13,X1,X2_a,X2_b,X2_c,X2_d,X2_e,X2_f,X2_g,X2_h,X2_i,X2_j,X2_k,X2_Refused,X3,X4_a,X4_b,X4_c,X4_d,X4_e,X4_f,X4_Refused,X5,X6_a,X6_b,X6_c,X6_d,X6_e,X6_f,X6_g,X6_Refused,X7,X8,X9,X10,Y1,Y2,DOV_Y3_Y4,Y3_a,Y3_b,Y3_c,Y3_d,Y3_e,Y3_Refused,Y4_a,Y4_b,Y4_c,Y4_d,Y4_e,Y4_Refused,I1,I2,I3_a,I3_b,I3_c,I3_d,I3_e,I3_f,I3_g,I3_h,I3_i,I3_j,I3_k,I3_Refused,I4,I4A,I5,I6,I6A,I7,I8_a,I8_b,I8_c,I9,I10_a,I10_b,I10_c,I10_d,I10_e,I10_f,I10_g,I10_Refused,DOV_E1A_E1B,E1A,E1B,E3B_a,E3B_b,E3B_c,E3B_d,E3B_e,E3B_f,E3B_g,E3B_h,E3B_i,E3B_Refused,E4B,G1,G2,G3,P3,P4,P5,P6,P7,P8,PPAGE,PPAGECAT,PPAGECT4,PPEDUC,PPEDUCAT,PPETHM,PPGENDER,PPHHHEAD,PPHHSIZE,PPHOUSE,PPINCIMP,PPMARIT,PPMSACAT,PPREG4,PPREG9,PPRENT,PPSTATEN,PPT01,PPT25,PPT612,PPT1317,PPT18OV,PPWORK,PPNET,sector,control,weight,totalstudentloan,A1a,A1b,A1c,normincome,normalincome,income,insurance,avoidtreatment,T6a,studentloans
3779,.5693,1988,1,2,1,6,,3,,,1,1,,2,0,,,,,1,0,999,999,1,0,0,0,2,1,,7,0,0,1,0,1,0,0,1,0,0,0,0,0,807,,,,,,,,,,,0,0,0,,,,0,1,,1,0,5,1,1,1,,,,,4,,,,1,1,0,0,,,,,,,,,,,,,46000,,,,500,,,,2,,1,9,5,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,3,3,4,5,4,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,10,5,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,1,3,0,1,4,1,,,,,,,,,,,,,,1,20,0,1,1,1,1,0,1,1,0,0,0,0,114000,,2,,,2,0,250,750,1,,,,,,,,,1,1,,1,0,0,0,0,0,0,0,0,0,1,,,2,3,1,1,,,1,25,2,1,13,4,1,1,1,2,3,13,1,1,3,5,2,58,0,0,0,0,2,7,1,1,1,.4831,46000,0,0,0,114000,7,7,1,0,9,1
3,2.0312,1985,1,2,1,5,,,,,1,1,,1,,1,0,,,1,0,0,999,1,0,0,0,0,0,,9,0,0,0,,,,,,,,,,,,2006,1,4,2,1,,,,,,,,1,,,,0,3,3,3,,2,1,1,,,,,,3,,,,1,0,0,0,,,,,,,,,,,,,4368,,,,50,,,,0,,5,7,3,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,3,3,3,4,1,,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,7,5,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,3,0,0,2,2,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,58000,,2,,,2,0,500,500,1,,,,,,,,,1,0,,0,0,0,0,0,0,0,1,0,0,1,,,,4,1,1,,,1,28,2,1,10,3,1,2,1,3,1,12,1,1,3,6,1,63,0,1,0,0,2,7,1,1,1,1.9867,4368,,,1,58000,5,5,1,1,7,1
1924,.6128,1978,1,2,1,1,1,,,,5,1,,1,,1,0,,,1,1,0,999,1,1,0,0,3,1,,2,0,0,1,,,,,,,,,,,,2012,,4,3,,,,,,,1,1,1,,,,2,2,1,2,,3,1,1,0,1,0,1,0,12,2,,,1,0,0,0,1,0,0,0,,,,,,,,,26000,8300,,,215,200,,,1,2005,1,4,6,1,0,0,0,0,0,1,1,2,1,0,0,0,-1,0,0,0,3,3,1,3,4,6,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,2,0,0,8,6,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,2,1,0,3,2,,0,0,0,0,1,0,,,,,,,3,0,,,,,,,,,,,,,60000,,1,80000,,3,0,0,1000,1,,,,,,,,,2,,1,1,1,1,0,0,0,0,0,0,0,1,,,4,2,1,2,,,,34,2,2,14,4,1,1,1,3,1,13,1,1,3,6,1,63,1,0,0,0,2,1,1,1,1,.5326,34300,1,1,1,80000,6,5,1,1,4,1
1170,1.2421,1994,5,1,,6,,2,,,,,1,3,0,,,,,1,0,0,0,1,0,0,0,0,0,,9,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,8,,8,0,8,0,0,,,,,,2,,,,1,1,0,0,,,,,,,,,,,,,8000,,,,50,,,,2,,2,1,3,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,1,2,3,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,6,5,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,8,,0,0,2,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,-1,-1,,,-1,,,,-1,,,,,,,,,1,-1,,0,0,0,0,0,0,0,0,0,1,1,,,,-1,-1,,,,,19,1,1,9,2,1,2,0,6,1,19,5,1,3,6,1,63,0,0,1,1,4,1,1,1,1,1.8509,8000,,,0,,-1,-1,1,0,1,1
3045,.7891,1985,5,1,,1,1,,,,,,1,2,0,,,,,1,999,999,999,1,0,0,0,2,1,,4,1,0,1,0,1,0,1,0,0,0,0,0,3,490,,,,,,,,,,,,,,0,0,1,0,3,1,3,0,1,1,0,1,,,,,2,,,,1,0,1,0,,,,,,,,,,,,,4000,,,,102,,,,0,,3,6,3,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,5,5,2,2,2,4,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,8,5,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,1,0,0,0,1,2,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,47000,,2,,,1,0,500,500,1,,,,,,,,,1,1,,0,0,1,0,0,0,0,0,0,0,0,1,1,2,4,1,1,,,1,28,2,1,11,3,4,1,1,1,3,11,5,1,3,6,2,63,0,0,0,0,1,1,1,4,1,.7602,4000,0,0,1,47000,4,4,1,1,6,1
1922,1.2477,1982,5,1,,1,1,,,,,,1,1,,,,1,0,1,999,999,999,1,0,0,0,1,1,,7,1,1,1,,,,,,,,,,,,2009,,3,1,0,,,,,,,,,1,0,0,0,3,1,2,,3,1,1,1,,,,,2,,,,1,0,0,0,,,,,,,,,,,,,30000,,,,200,,,,0,,4,8,3,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,-1,-1,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,-1,,,,,,,,-1,,,,,,,,,-1,,-1,-1,-1,-1,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,-1,-1,,,-1,,,,-1,,,,,,,,,1,-1,,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,,,,,31,2,2,9,2,1,1,1,1,1,12,6,1,2,4,1,43,0,0,0,0,1,1,1,1,1,1.2626,30000,1,0,0,,-1,-1,-1,-1,8,1
3883,.6965,1979,1,2,1,1,2,,,,2,1,,1,,1,0,,,1,0,0,0,1,0,0,0,15,1,,3,1,0,0,,,,,,,,,,,,2010,,4,3,,,,,,,0,0,0,,,,0,2,1,1,,3,0,0,0,1,1,1,0,2,,,,1,0,0,0,,,,,,,,,,,,,200,,,,360,,,,1,2008,3,3,3,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,2,3,3,5,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,10,8,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,1,0,0,1,0,1,0,0,0,,,,,,,,,1,3,1,0,1,2,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,52000,,2,,,3,100,300,600,2,0,0,0,1,0,0,1,0,2,,0,0,1,1,1,0,0,1,0,1,0,0,1,1,,4,1,1,,,2,33,2,2,12,4,3,2,1,4,1,12,1,1,4,9,1,92,0,1,1,0,2,2,1,1,1,.5981,200,0,0,0,52000,5,5,1,1,3,1
1487,.9431000000000001,1993,5,5,4,1,1,,,,,,1,2,0,,,,,1,999,999,999,1,0,0,0,0,0,,4,0,0,0,0,0,0,0,0,0,0,1,0,1,550,,,,,,1,1,,,2,,,,,,0,0,8,,8,0,3,0,0,,,,,,2,,,,0,1,0,0,,,,,,,,,,,,,23000,,,,0,,,,0,,4,10,3,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,4,2,2,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,3,2,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,0,0,2,2,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,12000,,2,,,3,100,500,400,2,1,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,1,0,0,0,,,,4,1,1,,,1,20,1,1,10,3,1,2,1,4,1,16,5,1,2,3,2,35,0,0,0,1,3,1,1,1,1,1.2562,23000,,,0,12000,2,2,1,0,10,1
2824,.2416,1971,1,2,1,1,1,,,,1,1,,1,,1,1,,,1,1,0,0,1,1,0,0,7,1,,5,0,0,1,,,,,,,,,,,,2007,3,3,3,,,,,,,0,0,1,,,,0,2,3,2,,3,1,1,0,1,1,1,0,2,2,,,1,0,0,0,1,0,0,0,,,,,,,,,25000,20000,,,200,150,,,1,1998,2,8,3,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,3,3,3,2,3,6,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,3,0,0,7,5,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,2,2,,,,,,,,,,,,,,2,8,0,1,0,0,0,0,0,0,0,0,0,0,120000,,2,,,2,0,0,1000,1,,,,,,,,,2,,0,0,1,0,0,0,0,0,0,0,0,1,,,5,2,1,2,,,,41,3,2,13,4,1,1,1,4,1,17,1,1,2,4,1,41,0,0,2,0,2,1,1,1,1,.286,45000,0,0,1,120000,7,7,1,1,8,1
2435,1.8694,1986,1,2,1,1,2,,,,1,1,,1,,1,0,,,1,1,0,0,1,1,0,0,7,1,,4,1,0,0,,,,,,,,,,,,2010,,3,3,,,,,,,0,0,0,,,,1,2,2,2,,4,1,1,0,1,0,1,0,1,1,,,1,0,0,0,1,0,0,0,,,,,,,,,4000,30000,,,52,300,,,-1,,2,12,2,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,3,3,1,2,1,,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,,0,0,8,5,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,,0,1,3,2,,1,0,0,0,0,0,,,,,,,3,5,1,1,1,0,0,1,0,0,0,0,0,0,92000,,3,90000,,3,0,0,1000,1,,,,,,,,,2,,0,0,1,0,0,0,0,0,0,0,0,0,1,1,,4,1,1,,,1,27,2,1,11,3,4,2,1,4,1,15,1,1,4,8,1,86,0,1,0,0,3,1,1,1,1,2.0047,34000,0,0,0,90000,6,6,1,1,12,1
