user,location,tweet text,tweet date
crypto__mak,United Kingdom,The History and Future of the Gig Economy https://t.co/jwRM9mWHZF #Cryptocurrency #Economy #gigeconomy #Gigs #infographic,11/1/2019 1:00
JustJohnae,EARTH,RT @brownbohemian_: News has been swirling that freelancers' rights in California are in jeopardy. What's your take on the issue? Can the #…,11/1/2019 1:00
Transform_Sec,"London, England","RT @Corix_JC: Food Delivery Looks Like Another #GigEconomy Dead End &gt; https://t.co/woKmKMhhZq on @business 

#digital #innovation #platform…",11/1/2019 1:00
getmyHSA,"Calgary, Alberta",Perks and #benefits are expected to help fuel the #gigeconomy https://t.co/b7nuMUGWwc #employeebenefits,11/1/2019 1:00
SullyandStan,"London, UK",What You Should Know About #GigEconomy In The #UK  https://t.co/T8s5lPgrZA https://t.co/i8Aoh7VJsu,11/1/2019 1:00
toreandopajaros,☁ ENTRE NUBES ☁,RT @eraser: An insight into the future of blockchain data technology. #Infographic #Infografía https://t.co/WEBphyOuT0 #blockchain #fintech…,11/1/2019 1:00
susanmu08720871,,RT @RuwanSubasinghe: Another blow to #Uber's biz model. #Geneva Cantonal Government holds that Uber drivers are employees following an in-d…,11/1/2019 1:00
corkrosy,,RT @Smarter_Loans: A recent study showed that 80% of #freelancers would not go back to traditional jobs. But what is freelancing really lik…,11/1/2019 1:00
BadUberX,Canada,"RT @PaulDDDaughters: The Swiss canton of #Geneva said Friday it had classified ride-hailing giant #Uber as an employer, ordering a halt to…",11/1/2019 1:00
Wickedy_Witch,"Amherst, Nova Scotia",RT @Smarter_Loans: A recent study showed that 80% of #freelancers would not go back to traditional jobs. But what is freelancing really lik…,11/1/2019 1:00
effhaitch,,"I will comment ""yikes"" under your ex's selfie for $5. #Fiverr #GigEconomy #HustleMonday",11/1/2019 1:00
BadUberX,Canada,"RT @djt1940: Numerous cities do care &amp; are banning these dangerous scooters.
Will Brisbane join them in showing common sense?
The #gigecono…",11/1/2019 1:00
spendmattersuk,"Surrey, England",The Analysts' Reel talks to @andrewkarpie on European trends in the contingent workforce market and the impact of… https://t.co/Ifkv4NqGnQ,11/1/2019 1:00
JPDigitalUS,"Louisville, KY","Want to understand why #companies hire #marketing consultants over agencies or even build their own teams? 

Find o… https://t.co/PtQM4qNcnc",11/1/2019 1:00
cambridgepr,"Cambridge, UK","RT @theworkcrowd: With Increasing number of people now opting for #flexibleworking and despite its many benefits, it may cause burn out.  H…",11/1/2019 1:00
lovebillybragg,"East Midlands, England",RT @streetartsheff: 'Sorry We Missed You' mural by @fivefivedesignz on Sidney Street to promote Ken Loach's new film about the gig economy…,11/1/2019 1:00
Richvergs,,RT @Smarter_Loans: A recent study showed that 80% of #freelancers would not go back to traditional jobs. But what is freelancing really lik…,11/1/2019 1:00
_CollectiveUK,"London, England",One of the main barriers to joining the #gigeconomy that #freelancers experience is the switch from a comfortable s… https://t.co/hGSwX0IhFX,11/1/2019 1:00
ServicePowerPlc,"McLean, VA",The uberization of #fieldservices encompasses more than mobile app usage. It also entails changing the technician d… https://t.co/ISKsTy6ZGE,11/1/2019 1:00
c_sgeorge,"Bentonville, AR","The growth of the #gigeconomy is a global trend and this trend does not show signs of slowing. With the right tool,… https://t.co/1PAZrWVxJO",11/1/2019 1:00
PamelaSHarper,"Glen Rock, NJ, USA",Hear about the key to integrating #GigWork into your existing workforce and processes in this episode featuring… https://t.co/LjoAoEP20z,11/1/2019 1:00
psha2450,,Adverse health outcomes fueled by income inequality. Businesses shifting risk and liability to workers. Why working… https://t.co/aoYtK7KO9l,11/1/2019 1:00
NashSpaceBroker,"Nashville, TN","RT @MelissaOnline: #California wanted to help Uber and Lyft drivers. But a new law means scriptwriters, actors, housekeepers, gardeners and…",11/1/2019 1:00
VMaryAbraham,New York City,There is a lot of focus now on the #GigEconomy. @rsafian thinks it is part of the larger #ProjectEconomy. This is a… https://t.co/wTAwgEdBNd,11/1/2019 1:00
StaceRainn,Ontario,RT @Smarter_Loans: A recent study showed that 80% of #freelancers would not go back to traditional jobs. But what is freelancing really lik…,11/1/2019 1:00
rachelloumiller,"California, USA","RT @Mercer_US: How has #AI, globalization, and the #gigeconomy shifted what employees expect from their organizations and what organization…",11/1/2019 1:00
keryboucher,,"RT @HenleyAfrica: #HenleyAfrica, following on @HenleyBSchool, did some research on the 'Side Hustle Economy' within the context of the #Fut…",11/1/2019 1:00
